#s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0;-12.5;-2.51;-2.0048315;0.2498222;4.1155003;0.6303669
0.04874763759555247;-12.455594162612925;-2.5272689367616397;-1.9970484691452397;0.24343984767199445;4.1228344717164696;0.6327066978457262
0.09749527519110494;-12.41118832522585;-2.54453787352328;-1.9892654382904793;0.23705749534398887;4.130168643432939;0.6350464956914523
0.1462429127866574;-12.366782487838776;-2.56180681028492;-1.9814824074357191;0.23067514301598332;4.137502815149409;0.6373862935371786
0.1949905503822099;-12.322376650451702;-2.57907574704656;-1.973699376580959;0.22429279068797775;4.1448369868658785;0.6397260913829047
0.24373818797776237;-12.277970813064629;-2.5963446838082;-1.9659163457261986;0.2179104383599722;4.152171158582349;0.642065889228631
0.2924858255733148;-12.233564975677554;-2.61361362056984;-1.9581333148714384;0.21152808603196666;4.159505330298819;0.6444056870743572
0.3412334631688673;-12.18915913829048;-2.6308825573314802;-1.9503502840166782;0.20514573370396108;4.166839502015288;0.6467454849200833
0.3899811007644198;-12.144753300903405;-2.64815149409312;-1.9425672531619178;0.1987633813759555;4.174173673731758;0.6490852827658096
0.4387287383599722;-12.10034746351633;-2.6654204308547604;-1.9347842223071576;0.19238102904794996;4.181507845448228;0.6514250806115357
0.48747637595552473;-12.055941626129256;-2.6826893676164003;-1.9270011914523975;0.1859986767199444;4.188842017164697;0.6537648784572619
0.5362240135510772;-12.011535788742181;-2.69995830437804;-1.919218160597637;0.17961632439193884;4.196176188881167;0.6561046763029882
0.5849716511466296;-11.967129951355108;-2.7172272411396805;-1.9114351297428769;0.1732339720639333;4.203510360597637;0.6584444741487143
0.6337192887421821;-11.922724113968034;-2.7344961779013204;-1.9036520988881167;0.16685161973592771;4.210844532314106;0.6607842719944406
0.6824669263377346;-11.87831827658096;-2.7517651146629607;-1.8958690680333563;0.16046926740792217;4.218178704030576;0.6631240698401668
0.7312145639332871;-11.833912439193885;-2.7690340514246006;-1.8880860371785961;0.1540869150799166;4.225512875747047;0.6654638676858929
0.7799622015288395;-11.78950660180681;-2.7863029881862404;-1.880303006323836;0.14770456275191104;4.232847047463516;0.6678036655316192
0.828709839124392;-11.745100764419735;-2.8035719249478808;-1.8725199754690756;0.14132221042390547;4.240181219179986;0.6701434633773453
0.8774574767199445;-11.70069492703266;-2.8208408617095206;-1.8647369446143154;0.13493985809589992;4.247515390896456;0.6724832612230716
0.926205114315497;-11.656289089645586;-2.838109798471161;-1.8569539137595552;0.12855750576789438;4.254849562612925;0.6748230590687978
0.9749527519110495;-11.611883252258512;-2.855378735232801;-1.8491708829047948;0.1221751534398888;4.262183734329395;0.6771628569145239
1.023700389506602;-11.563863794301598;-2.867227241139681;-1.8432997681028491;0.11917779874913134;4.2697205181375955;0.6796154214037525
1.0724480271021544;-11.514523974982627;-2.877095205003475;-1.8381272380125087;0.11741727011813759;4.277331333287004;0.6821091890896456
1.1211956646977068;-11.465184155663655;-2.8869631688672692;-1.832954707922168;0.11565674148714385;4.284942148436413;0.6846029567755385
1.1699433022932593;-11.415844336344684;-2.8968311327310636;-1.8277821778318275;0.1138962128561501;4.292552963585823;0.6870967244614316
1.2186909398888117;-11.366504517025712;-2.906699096594858;-1.822609647741487;0.11213568422515635;4.300163778735232;0.6895904921473245
1.2674385774843642;-11.31716469770674;-2.9165670604586524;-1.8174371176511466;0.11037515559416261;4.307774593884642;0.6920842598332175
1.3161862150799168;-11.267824878387769;-2.9264350243224464;-1.812264587560806;0.10861462696316886;4.315385409034051;0.6945780275191105
1.3649338526754693;-11.218485059068797;-2.936302988186241;-1.8070920574704656;0.10685409833217512;4.322996224183461;0.6970717952050035
1.4136814902710217;-11.169145239749826;-2.946170952050035;-1.801919527380125;0.10509356970118137;4.33060703933287;0.6995655628908964
1.4624291278665742;-11.119805420430854;-2.9560389159138296;-1.7967469972897845;0.10333304107018762;4.338217854482279;0.7020593305767895
1.5111767654621266;-11.070465601111882;-2.9659068797776236;-1.791574467199444;0.10157251243919388;4.345828669631689;0.7045530982626824
1.559924403057679;-11.021125781792911;-2.975774843641418;-1.7864019371091036;0.09981198380820014;4.353439484781098;0.7070468659485754
1.6086720406532315;-10.97178596247394;-2.9856428075052124;-1.7812294070187629;0.09805145517720638;4.361050299930508;0.7095406336344684
1.657419678248784;-10.922446143154968;-2.995510771369007;-1.7760568769284224;0.09629092654621264;4.368661115079917;0.7120344013203613
1.7061673158443365;-10.873106323835996;-3.005378735232801;-1.770884346838082;0.0945303979152189;4.376271930229326;0.7145281690062544
1.754914953439889;-10.823766504517025;-3.015246699096595;-1.7657118167477415;0.09276986928422515;4.3838827453787355;0.7170219366921473
1.8036625910354414;-10.774426685198055;-3.0251146629603896;-1.760539286657401;0.09100934065323141;4.391493560528144;0.7195157043780404
1.852410228630994;-10.725086865879081;-3.034982626824184;-1.7553667565670605;0.08924881202223767;4.399104375677554;0.7220094720639333
1.9011578662265465;-10.675747046560112;-3.0448505906879784;-1.7501942264767198;0.08748828339124393;4.406715190826963;0.7245032397498263
1.949905503822099;-10.626407227241138;-3.0547185545517728;-1.7450216963863794;0.08572775476025016;4.414326005976372;0.7269970074357193
1.9986531414176514;-10.577067407922168;-3.063439888811675;-1.7407829034746352;0.08388726935371785;4.422067844197359;0.7242238810979847
2.047400779013204;-10.527727588603197;-3.070840861709521;-1.7376193230715775;0.08195471250868659;4.429960557470466;0.7153858464906185
2.0961484166087563;-10.478387769284225;-3.0782418346073666;-1.7344557426685199;0.08002215566365532;4.437853270743572;0.7065478118832523
